parent_theme_name,decade,rgb,color_name,part_quantity
Model,2010,958A73,Dark Tan,545.0
Model,2010,9CA3A8,Pearl Light Gray,7.0
Model,2010,A0A5A9,Light Bluish Gray,6496.0
Model,2010,A0BCAC,Sand Green,36.0
Model,2010,A5A9B4,Metallic Silver,44.0
Model,2010,A95500,Dark Orange,3.0
Model,2010,AA7F2E,Pearl Gold,147.0
Model,2010,AEEFEC,Trans-Light Blue,8.0
Model,2010,BBE90B,Lime,87.0
Model,2010,C91A09,Red,2210.0
Model,2010,C91A09,Trans-Red,86.0
Model,2010,CC702A,Medium Dark Flesh,7.0
Model,2010,D9E4A7,Trans-Bright Green,3.0
Model,2010,E4CD9E,Tan,2784.0
Model,2010,F08F1C,Trans-Orange,107.0
Model,2010,F2CD37,Yellow,2354.0
Model,2010,F5CD2F,Trans-Yellow,30.0
Model,2010,F8BB3D,Bright Light Orange,9.0
Model,2010,F8F184,Trans-Neon Green,3.0
Model,2010,FCFCFC,Trans-Clear,355.0
Model,2010,FE8A18,Orange,141.0
Model,2010,FF800D,Trans-Neon Orange,13.0
Model,2010,FFFFFF,White,1651.0
Pirates,1980,0055BF,Blue,57.0
Pirates,1980,05131D,Black,1030.0
Pirates,1980,05131D,[No Color],1.0
Pirates,1980,237841,Green,40.0
Pirates,1980,583927,Brown,192.0
Pirates,1980,6D6E5C,Dark Gray,65.0
Pirates,1980,9BA19D,Light Gray,164.0
Pirates,1980,BBA53D,Chrome Gold,64.0
Pirates,1980,C91A09,Red,63.0
Pirates,1980,F2CD37,Yellow,330.0
Pirates,1980,F5CD2F,Trans-Yellow,23.0
Pirates,1980,FCFCFC,Trans-Clear,1.0
Pirates,1980,FFFFFF,White,335.0
Pirates,1990,0020A0,Trans-Dark Blue,4.0
Pirates,1990,0055BF,Blue,167.0
Pirates,1990,05131D,Black,2169.0
Pirates,1990,05131D,[No Color],4.0
Pirates,1990,237841,Green,237.0
Pirates,1990,583927,Brown,505.0
Pirates,1990,6D6E5C,Dark Gray,179.0
Pirates,1990,84B68D,Trans-Green,3.0
Pirates,1990,9BA19D,Light Gray,1086.0
Pirates,1990,BBA53D,Chrome Gold,162.0
Pirates,1990,C91A09,Red,488.0
Pirates,1990,C91A09,Trans-Red,14.0
Pirates,1990,E0E0E0,Chrome Silver,3.0
Pirates,1990,F2CD37,Yellow,521.0
Pirates,1990,F5CD2F,Trans-Yellow,28.0
Pirates,1990,FCFCFC,Trans-Clear,7.0
Pirates,1990,FF800D,Trans-Neon Orange,10.0
Pirates,1990,FFFFFF,White,719.0
Pirates,2000,0020A0,Trans-Dark Blue,1.0
Pirates,2000,0055BF,Blue,105.0
Pirates,2000,05131D,Black,858.0
