comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Yes,Yes,No,No,Yes,"No, I don't think it would",male,34
Maybe,No,Maybe,No,I don't know,Maybe,male,39
Yes,Yes,No,No,Yes,Maybe,male,27
Maybe,Yes,No,No,I don't know,Maybe,male,31
No,Yes,Maybe,No,No,"Yes, I think it would",male,26
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,44
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,27
Maybe,Yes,No,No,I don't know,Maybe,female,57
No,Maybe,Yes,No,I don't know,Maybe,male,35
Maybe,No,Maybe,Maybe,Yes,"Yes, I think it would",male,26
Maybe,Yes,No,No,Yes,Maybe,female,22
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,31
Maybe,Yes,Maybe,No,No,Maybe,male,26
No,No,Yes,No,I don't know,"Yes, it has",male,36
Yes,Yes,No,No,Yes,Maybe,male,33
No,Maybe,Maybe,Maybe,No,"Yes, it has",male,22
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,33
Yes,Yes,No,No,Yes,Maybe,male,29
Yes,Yes,No,No,Yes,Maybe,male,38
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,33
No,No,Yes,Yes,No,"Yes, I think it would",female,44
Maybe,Yes,No,No,I don't know,Maybe,male,23
No,No,Yes,No,No,"Yes, I think it would",male,30
Yes,Yes,No,No,I don't know,"Yes, I think it would",male,28
Maybe,Maybe,No,No,No,Maybe,male,39
No,No,Yes,No,I don't know,Maybe,female,24
Maybe,Yes,No,No,Yes,Maybe,male,35
Yes,Yes,No,No,I don't know,Maybe,male,23
Maybe,Yes,No,No,I don't know,Maybe,male,37
Maybe,Maybe,No,No,Yes,Maybe,male,27
Maybe,Maybe,No,No,Yes,Maybe,female,27
No,No,Maybe,No,I don't know,Maybe,female,27
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,42
No,Maybe,Maybe,Maybe,No,Maybe,male,32
Maybe,Maybe,No,No,I don't know,Maybe,male,26
No,No,Yes,No,I don't know,"Yes, I think it would",male,28
No,No,Yes,No,I don't know,"Yes, I think it would",male,28
No,No,Maybe,No,I don't know,"Yes, I think it would",male,32
Maybe,Maybe,Maybe,No,No,Maybe,male,34
No,Maybe,Maybe,Maybe,I don't know,Maybe,female,61
Yes,Yes,No,No,Yes,Maybe,male,34
No,Maybe,Yes,No,I don't know,"Yes, I think it would",female,43
No,Maybe,Maybe,No,I don't know,"Yes, it has",male,44
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,35
Maybe,Yes,No,No,Yes,Maybe,male,50
Maybe,Yes,Maybe,No,I don't know,Maybe,male,29
Yes,Yes,No,No,Yes,"No, it has not",male,29
Yes,Yes,Maybe,Maybe,Yes,"Yes, I think it would",male,36
No,No,Maybe,Maybe,No,Maybe,male,46
Maybe,No,Yes,Maybe,No,"Yes, I think it would",other,23
Maybe,Yes,Maybe,No,No,Maybe,male,41
Maybe,Yes,No,Maybe,I don't know,"Yes, I think it would",male,31
No,No,Yes,No,No,"Yes, I think it would",male,55
Maybe,No,Yes,Maybe,No,"Yes, I think it would",male,34
Yes,Yes,No,No,Yes,"Yes, it has",female,28
Maybe,Maybe,No,No,I don't know,Maybe,male,33
Maybe,No,Yes,Yes,No,"Yes, I think it would",male,29
Maybe,Yes,No,No,Yes,Maybe,female,33
No,Maybe,Maybe,No,I don't know,Maybe,male,28
Yes,Yes,No,No,Yes,"Yes, I think it would",male,32
No,Maybe,No,No,I don't know,Maybe,female,36
No,No,Yes,No,I don't know,"Yes, I think it would",male,45
No,No,Yes,Yes,No,"Yes, I think it would",female,29
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,31
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,29
